Cites;Authors;Title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
319;M Hartlapp, J Metz, C Rauh;Which policy for Europe?: power and conflict inside the European Commission;2014;;OUP Oxford;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16887404596072054801;1;21.08.2025 14:16;Book;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:ULOm3_A8WrAC;;;;;319;29.00;106;3;11;;;
58;C Rauh;Clear messages to the European public? The language of European Commission press releases 1985–2020;2023;Journal of European Integration;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1236898548868579695,13525180722372907951,14135509442548774749;12;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:fPk4N6BV_jEC;45;4;683;701;58;29.00;58;1;2;;;
129;C Rauh;EU politicization and policy initiatives of the European Commission: the case of consumer policy;2019;Journal of European Public Policy;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9211149232941481623;6;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:R3hNpaxXUhUC;26;3;344;365;129;21.50;129;1;6;;;
101;C Rauh, J Schwalbach;The ParlSpeech V2 data set: Full-text corpora of 6.3 million parliamentary speeches in the key legislative chambers of nine representative democracies;2020;Harvard Dataverse;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16954078695867261452;9;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:O3NaXMp0MMsC;1;1;;;101;20.20;51;2;5;;;
139;C Rauh;Validating a sentiment dictionary for German political language—a workbench note;2018;Journal of Information Technology &Politics;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18269512851570548391,1777725418441162154;4;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:_Qo2XoVZTnwC;15;4;319;343;139;19.86;139;1;7;;;
93;C Rauh, BJ Bes, M Schoonvelde;Undermining, defusing or defending European integration? Assessing public communication of European executives in times of EU politicisation;2020;European Journal of Political Research;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10527498004651447315;10;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:JV2RwH3_ST0C;59;2;397;423;93;18.60;31;3;5;;;
153;C Rauh;A Responsive Technocracy? EU Politicisation and the Consumer Policies of the European Commission.;2016;Colchester: ECPR Press;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6083465041828378535,18319921735423789951;2;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:hFOr9nPyWt4C;;;;;153;17.00;153;1;9;;;
114;C Rauh, P De Wilde;The opposition deficit in EU accountability: Evidence from over 20 years of plenary debate in four member states;2018;European Journal of Political Research;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2337364864229883528;8;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:mB3voiENLucC;57;1;194;216;114;16.29;57;2;7;;;
75;C Rauh, M Zürn;Authority, politicization, and alternative justifications: endogenous legitimation dynamics in global economic governance1;2020;Review of International Political Economy;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17872321188083793272,17827074008613680306;11;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:hMod-77fHWUC;27;3;583;611;75;15.00;38;2;5;;;
38;C Rauh;Supranational emergency politics? What executives’ public crisis communication may tell us;2022;Journal of European Public Policy;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9995992266407773541;16;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:35N4QoGY0k4C;29;6;966;978;38;Dez 67;38;1;3;;;
123;C Rauh;Communicating supranational governance? The salience of EU affairs in the German Bundestag, 1991–2013;2015;European Union Politics;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15278032749371328449;7;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:YOwf2qJgpHMC;16;1;116;138;123;Dez 30;123;1;10;;;
130;C Rauh, M Zürn;Zur Politisierung der EU in der Krise;2014;Krise der europäischen Vergesellschaftung? Soziologische Perspektiven;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1670938971574660203;5;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:kNdYIx-mwKoC;;;121;145;130;Nov 82;65;2;11;;;
